2010-11-06,St. Louis Blues,2,Boston Bruins,1,SO,
2010-11-06,Florida Panthers,2,Carolina Hurricanes,3,,
2010-11-06,Minnesota Wild,3,Columbus Blue Jackets,2,,
2010-11-06,Dallas Stars,0,Colorado Avalanche,5,,
2010-11-06,Nashville Predators,1,Los Angeles Kings,4,,
2010-11-06,Ottawa Senators,3,Montreal Canadiens,2,,
2010-11-06,Philadelphia Flyers,2,New York Islanders,1,,
2010-11-06,Pittsburgh Penguins,4,Phoenix Coyotes,3,SO,
2010-11-06,Tampa Bay Lightning,2,San Jose Sharks,5,,
2010-11-06,Buffalo Sabres,3,Toronto Maple Leafs,2,SO,
2010-11-06,Detroit Red Wings,4,Vancouver Canucks,6,,
2010-11-07,Nashville Predators,4,Anaheim Ducks,5,,
2010-11-07,Edmonton Oilers,2,Chicago Blackhawks,1,,
2010-11-07,St. Louis Blues,2,New York Rangers,0,,
2010-11-07,Philadelphia Flyers,2,Washington Capitals,3,OT,
2010-11-08,Phoenix Coyotes,2,Detroit Red Wings,3,OT,
2010-11-09,Edmonton Oilers,1,Carolina Hurricanes,7,,
2010-11-09,Calgary Flames,4,Colorado Avalanche,2,,
2010-11-09,Vancouver Canucks,0,Montreal Canadiens,2,,
2010-11-09,Washington Capitals,5,New York Rangers,3,,
2010-11-09,Atlanta Thrashers,2,Ottawa Senators,5,,
2010-11-09,Anaheim Ducks,3,San Jose Sharks,2,OT,
2010-11-09,Toronto Maple Leafs,0,Tampa Bay Lightning,4,,
2010-11-10,New York Islanders,0,Anaheim Ducks,1,,
2010-11-10,St. Louis Blues,1,Columbus Blue Jackets,8,,
2010-11-10,Phoenix Coyotes,2,Chicago Blackhawks,1,,
2010-11-10,Toronto Maple Leafs,1,Florida Panthers,4,,
2010-11-10,Buffalo Sabres,5,New Jersey Devils,4,SO,
2010-11-10,Boston Bruins,7,Pittsburgh Penguins,4,,
2010-11-11,Minnesota Wild,1,Atlanta Thrashers,5,,
2010-11-11,Montreal Canadiens,3,Boston Bruins,1,,
2010-11-11,Philadelphia Flyers,8,Carolina Hurricanes,1,,
2010-11-11,Edmonton Oilers,2,Detroit Red Wings,6,,
2010-11-11,Dallas Stars,1,Los Angeles Kings,3,,
2010-11-11,Buffalo Sabres,2,New York Rangers,3,OT,
2010-11-11,Vancouver Canucks,6,Ottawa Senators,2,,
2010-11-11,New York Islanders,1,San Jose Sharks,2,SO,
2010-11-11,Nashville Predators,3,St. Louis Blues,2,SO,
2010-11-11,Tampa Bay Lightning,3,Washington Capitals,6,,
2010-11-12,Dallas Stars,2,Anaheim Ducks,4,,
2010-11-12,Colorado Avalanche,5,Columbus Blue Jackets,1,,
2010-11-12,Minnesota Wild,1,Florida Panthers,2,,
2010-11-12,Edmonton Oilers,3,New Jersey Devils,4,OT,
2010-11-12,Calgary Flames,4,Phoenix Coyotes,5,,
